household_id,person_name,gender,age,age_range,father_name,mother_name,partner_name,children_count,living_place_name,working_place_name
HH_40,Person_93,male,61,60-64,,,,0,,Madrid
HH_41,Person_94,male,16,15-19,Person_95,,,0,,
HH_41,Person_95,male,56,55-59,,,Person_96,1,,
HH_41,Person_96,male,47,45-49,,,Person_95,0,,Madrid
HH_42,Person_97,male,24,20-24,,Person_101,,0,,
HH_42,Person_98,male,28,25-29,,Person_101,,0,,
HH_42,Person_99,female,22,20-24,,Person_101,,0,,Edificio Torres Quevedo
HH_42,Person_100,female,17,15-19,,Person_101,,0,,
HH_42,Person_101,female,60,60-64,,,,4,,Madrid
HH_43,Person_102,female,23,20-24,Person_104,,,0,,
HH_43,Person_103,female,28,25-29,Person_104,,,0,,Edificio Sabatini
HH_43,Person_104,male,54,50-54,,,Person_105,2,,Madrid
HH_43,Person_105,male,42,40-44,,,Person_104,0,,Madrid
HH_44,Person_106,male,15,15-19,,Person_110,,0,,
HH_44,Person_107,female,11,10-14,,Person_110,,0,,
HH_44,Person_108,male,16,15-19,,Person_110,,0,,
HH_44,Person_109,male,5,5-9,,Person_110,,0,,Escuela Infantil Rosa Caramelo
HH_44,Person_110,female,45,45-49,,,,4,,Madrid
HH_45,Person_111,female,24,20-24,,Person_113,,0,,Madrid
HH_45,Person_112,male,33,30-34,,Person_113,,0,,Madrid
HH_45,Person_113,female,69,65-69,,,,2,,
HH_46,Person_114,female,65,65-69,,,,0,,
HH_47,Person_115,male,25,25-29,,Person_117,,0,,Edificio Juan Benet
HH_47,Person_116,female,30,30-34,,Person_117,,0,,Biblioteca Rey Pastor
HH_47,Person_117,female,62,60-64,,,Person_118,2,,
HH_47,Person_118,female,64,60-64,,,Person_117,0,,Madrid
HH_48,Person_119,male,3,0-4,,Person_122,,0,,
HH_48,Person_120,male,2,0-4,,Person_122,,0,,
HH_48,Person_121,male,8,5-9,,Person_122,,0,,
HH_48,Person_122,female,37,35-39,,,Person_123,3,,Madrid
HH_48,Person_123,female,43,40-44,,,Person_122,0,,Madrid
HH_49,Person_124,male,12,10-14,Person_126,,,0,Getafe norte,
HH_49,Person_125,male,32,30-34,Person_126,,,0,Getafe norte,
HH_49,Person_126,male,73,70-74,,,Person_127,2,Getafe norte,
HH_49,Person_127,male,88,85-89,,,Person_126,0,Getafe norte,
HH_50,Person_128,female,91,90-94,,,,0,,
HH_50,Person_129,female,54,50-54,,,,0,,Madrid
HH_51,Person_130,female,11,10-14,Person_132,,,0,Madrid,
HH_51,Person_131,male,15,15-19,Person_132,,,0,Madrid,
HH_51,Person_132,male,54,50-54,,,,2,Madrid,
HH_52,Person_133,male,28,25-29,,Person_134,,0,Madrid,
HH_52,Person_134,female,68,65-69,,,,1,Madrid,
HH_53,Person_135,female,47,45-49,,,,0,,Madrid
HH_53,Person_136,male,36,35-39,,,,0,,Madrid
HH_54,Person_137,female,70,70-74,,,,0,,
HH_55,Person_138,female,46,45-49,,Person_139,,0,Mostoles,Edificio Juan de Mairena
HH_55,Person_139,female,76,75-79,,,,1,Mostoles,
HH_56,Person_140,male,20,20-24,,,,0,,Getafe norte
HH_57,Person_141,male,27,25-29,,,,0,Madrid,
HH_57,Person_142,male,18,15-19,,,,0,Madrid,Parque Científico de la Universidad Carlos III de Madrid
HH_58,Person_143,female,10,10-14,,Person_145,,0,,
HH_58,Person_144,female,2,0-4,,Person_145,,0,,
HH_58,Person_145,female,38,35-39,,,,2,,Madrid
HH_59,Person_146,male,20,20-24,Person_148,,,0,,Madrid
HH_59,Person_147,female,35,35-39,Person_148,,,0,,Madrid
HH_59,Person_148,male,53,50-54,,,Person_149,2,,Getafe norte
HH_59,Person_149,male,30,30-34,,,Person_148,0,,Fundación IMDEA Networks
HH_60,Person_150,female,24,20-24,,Person_151,,0,,Madrid
HH_60,Person_151,female,39,35-39,,,Person_152,1,,Madrid
HH_60,Person_152,female,33,30-34,,,Person_151,0,,Madrid
HH_61,Person_153,male,8,5-9,,Person_156,,0,Fuenlabrada,
HH_61,Person_154,female,13,10-14,,Person_156,,0,Fuenlabrada,
HH_61,Person_155,male,2,0-4,,Person_156,,0,Fuenlabrada,
HH_61,Person_156,female,43,40-44,,,,3,Fuenlabrada,
HH_62,Person_157,female,60,60-64,,,,0,Iglesia de San Salvador,Madrid
HH_63,Person_158,male,24,20-24,,Person_160,,0,,Fundación IMDEA Networks
HH_63,Person_159,female,28,25-29,,Person_160,,0,,Fuenlabrada
HH_63,Person_160,female,67,65-69,,,Person_161,2,,
HH_63,Person_161,female,77,75-79,,,Person_160,0,,
HH_64,Person_162,female,14,10-14,Person_164,,,0,,
HH_64,Person_163,male,32,30-34,Person_164,,,0,,Madrid
HH_64,Person_164,male,65,65-69,,,Person_165,2,,
HH_64,Person_165,male,57,55-59,,,Person_164,0,,Madrid
HH_65,Person_166,female,77,75-79,,,,0,,
HH_66,Person_167,male,8,5-9,,Person_170,,0,,
HH_66,Person_168,female,7,5-9,,Person_170,,0,,
HH_66,Person_169,female,10,10-14,,Person_170,,0,,
HH_66,Person_170,female,43,40-44,,,Person_171,3,,Madrid
HH_66,Person_171,female,48,45-49,,,Person_170,0,,Madrid
HH_67,Person_172,female,3,0-4,,Person_173,,0,,Escuela Infantil Rosa Caramelo
HH_67,Person_173,female,32,30-34,,,,1,,Madrid
HH_68,Person_174,male,1,0-4,Person_175,,,0,Fuenlabrada,
HH_68,Person_175,male,44,40-44,,,Person_176,1,Fuenlabrada,
HH_68,Person_176,male,47,45-49,,,Person_175,0,Fuenlabrada,
HH_69,Person_177,male,18,15-19,,,,0,,Madrid
HH_69,Person_178,female,29,25-29,,,,0,,Edificio Sabatini
HH_70,Person_179,male,40,40-44,,,,0,,Madrid
HH_70,Person_180,female,66,65-69,,,,0,,
HH_71,Person_181,male,0,0-4,,Person_183,,0,Madrid,Escuela Infantil Rosa Caramelo
HH_71,Person_182,female,0,0-4,,Person_183,,0,Madrid,
HH_71,Person_183,female,34,30-34,,,,2,Madrid,
HH_72,Person_184,female,53,50-54,,,,0,,Madrid
HH_72,Person_185,female,58,55-59,,,,0,,Madrid
HH_73,Person_186,male,84,80-84,,,,0,Madrid,
HH_74,Person_187,male,80,80-84,,,,0,Madrid,
HH_74,Person_188,male,21,20-24,,,,0,Madrid,
HH_75,Person_189,female,39,35-39,,,,0,,Madrid
HH_76,Person_190,male,83,80-84,,,,0,,
HH_77,Person_191,female,74,70-74,,,,0,Madrid,
HH_77,Person_192,female,29,25-29,,,,0,Madrid,Edificio Juan Benet
HH_78,Person_193,female,78,75-79,,,,0,,
HH_79,Person_194,male,71,70-74,,,,0,Madrid,
HH_79,Person_195,female,90,90-94,,,,0,Madrid,
HH_79,Person_196,female,74,70-74,,,,0,Madrid,
HH_80,Person_197,male,9,5-9,,Person_200,,0,Madrid,
HH_80,Person_198,female,19,15-19,,Person_200,,0,Madrid,
HH_80,Person_199,female,7,5-9,,Person_200,,0,Madrid,
HH_80,Person_200,female,62,60-64,,,,3,Madrid,
HH_81,Person_201,female,27,25-29,,,,0,Alcorcon,Biblioteca Rey Pastor
HH_81,Person_202,male,87,85-89,,,,0,Alcorcon,
HH_82,Person_203,male,21,20-24,,Person_207,,0,,Mostoles
HH_82,Person_204,female,27,25-29,,Person_207,,0,,
HH_82,Person_205,female,25,25-29,,Person_207,,0,,Parque Científico de la Universidad Carlos III de Madrid
HH_82,Person_206,male,12,10-14,,Person_207,,0,,
HH_82,Person_207,female,45,45-49,,,,4,,Madrid
HH_83,Person_208,male,83,80-84,,,,0,,
HH_83,Person_209,female,21,20-24,,,,0,,Fuenlabrada
HH_84,Person_210,female,26,25-29,,Person_211,,0,,Edificio Sabatini
HH_84,Person_211,female,68,65-69,,,Person_212,1,,
HH_84,Person_212,female,64,60-64,,,Person_211,0,,
HH_85,Person_213,female,69,65-69,,,,0,,
HH_85,Person_214,male,69,65-69,,,,0,,
HH_85,Person_215,female,27,25-29,,,,0,,
HH_85,Person_216,female,98,95-99,,,,0,,
HH_86,Person_217,female,18,15-19,,,,0,,Edificio Torres Quevedo
HH_86,Person_218,male,36,35-39,,,,0,,Madrid
HH_87,Person_219,female,52,50-54,,,,0,Fuenlabrada,
HH_87,Person_220,male,46,45-49,,,,0,Fuenlabrada,
HH_88,Person_221,female,93,90-94,,,,0,,
HH_89,Person_222,female,47,45-49,Person_224,,,0,,Madrid
HH_89,Person_223,female,48,45-49,Person_224,,,0,,Madrid
HH_89,Person_224,male,91,90-94,,,Person_225,2,,
HH_89,Person_225,male,58,55-59,,,Person_224,0,,Madrid
HH_90,Person_226,male,26,25-29,,Person_227,,0,,
HH_90,Person_227,female,58,55-59,,,,1,,
HH_91,Person_228,female,20,20-24,,Person_230,,0,,Edificio Sabatini
HH_91,Person_229,female,35,35-39,,Person_230,,0,,Alcorcon
HH_91,Person_230,female,61,60-64,,,Person_231,2,,Getafe norte
HH_91,Person_231,female,57,55-59,,,Person_230,0,,Madrid
HH_92,Person_232,female,7,5-9,Person_234,,,0,Madrid,
HH_92,Person_233,female,8,5-9,Person_234,,,0,Madrid,
HH_92,Person_234,male,39,35-39,,,,2,Madrid,
HH_93,Person_235,female,79,75-79,,,,0,,
HH_93,Person_236,female,83,80-84,,,,0,,
HH_94,Person_237,female,89,85-89,,,,0,,
HH_95,Person_238,female,46,45-49,,,,0,,Mostoles
HH_96,Person_239,female,95,95-99,,,,0,Madrid,
HH_97,Person_240,female,34,30-34,,,,0,Mostoles,
HH_97,Person_241,male,55,55-59,,,,0,Mostoles,
HH_98,Person_242,female,27,25-29,,Person_243,,0,,
HH_98,Person_243,female,46,45-49,,,Person_244,1,,
HH_98,Person_244,female,57,55-59,,,Person_243,0,,
HH_99,Person_245,female,81,80-84,,,,0,,
HH_99,Person_246,female,42,40-44,,,,0,,Madrid
HH_100,Person_247,male,75,75-79,,,,0,,
HH_100,Person_248,female,18,15-19,,,,0,,
HH_101,Person_249,female,30,30-34,Person_250,,,0,Madrid,Edificio Torres Quevedo
HH_101,Person_250,male,55,55-59,,,Person_251,1,Madrid,Disagar
HH_101,Person_251,male,51,50-54,,,Person_250,0,Madrid,
HH_102,Person_252,male,12,10-14,,Person_254,,0,,
HH_102,Person_253,female,25,25-29,,Person_254,,0,,
HH_102,Person_254,female,59,55-59,,,Person_255,2,,
HH_102,Person_255,female,72,70-74,,,Person_254,0,,
HH_103,Person_256,male,56,55-59,,,,0,,Mostoles
HH_103,Person_257,female,48,45-49,,,,0,,Madrid
HH_103,Person_258,female,82,80-84,,,,0,,
HH_104,Person_259,female,43,40-44,,,,0,,
HH_104,Person_260,female,81,80-84,,,,0,,
HH_104,Person_261,male,87,85-89,,,,0,,
HH_104,Person_262,male,53,50-54,,,,0,,Fuenlabrada
HH_105,Person_263,male,29,25-29,,,,0,Centro de Formación Volkswagen,Madrid
HH_106,Person_264,male,34,30-34,,,,0,,Madrid
HH_106,Person_265,male,73,70-74,,,,0,,
HH_106,Person_266,female,19,15-19,,,,0,,Madrid
HH_107,Person_267,male,52,50-54,,,,0,,Madrid
HH_108,Person_268,female,81,80-84,,,,0,Madrid,
HH_109,Person_269,female,91,90-94,,,,0,,
HH_109,Person_270,male,98,95-99,,,,0,,
HH_110,Person_271,female,85,85-89,,,,0,,
HH_110,Person_272,male,90,90-94,,,,0,,
HH_111,Person_273,male,49,45-49,,,,0,Madrid,
HH_111,Person_274,male,23,20-24,,,,0,Madrid,Edificio Juan Benet
HH_112,Person_275,female,65,65-69,,,,0,Madrid,
HH_112,Person_276,female,25,25-29,,,,0,Madrid,Biblioteca Rey Pastor
HH_113,Person_277,male,3,0-4,Person_279,,,0,Madrid,Escuela Infantil Rosa Caramelo
HH_113,Person_278,male,26,25-29,Person_279,,,0,Madrid,
HH_113,Person_279,male,43,40-44,,,Person_280,2,Madrid,
HH_113,Person_280,male,39,35-39,,,Person_279,0,Madrid,Sánchez Elez Sanabria
HH_114,Person_281,male,6,5-9,Person_283,,,0,,
HH_114,Person_282,male,33,30-34,Person_283,,,0,,Madrid
HH_114,Person_283,male,51,50-54,,,Person_284,2,,Madrid
HH_114,Person_284,male,45,45-49,,,Person_283,0,,Alcorcon
HH_115,Person_285,female,16,15-19,Person_287,,,0,,
HH_115,Person_286,male,26,25-29,Person_287,,,0,,Edificio Juan Benet
HH_115,Person_287,male,41,40-44,,,Person_288,2,,Madrid
HH_115,Person_288,male,35,35-39,,,Person_287,0,,
HH_116,Person_289,female,99,95-99,,,,0,Getafe norte,
HH_116,Person_290,female,64,60-64,,,,0,Getafe norte,
HH_116,Person_291,male,44,40-44,,,,0,Getafe norte,
HH_117,Person_292,male,73,70-74,,,,0,,
HH_117,Person_293,female,98,95-99,,,,0,,
HH_118,Person_294,female,10,10-14,Person_296,,,0,Alcorcon,
HH_118,Person_295,male,34,30-34,Person_296,,,0,Alcorcon,
HH_118,Person_296,male,75,75-79,,,Person_297,2,Alcorcon,
HH_118,Person_297,male,93,90-94,,,Person_296,0,Alcorcon,
HH_119,Person_298,female,28,25-29,,Person_299,,0,Madrid,
HH_119,Person_299,female,58,55-59,,,Person_300,1,Madrid,
HH_119,Person_300,female,57,55-59,,,Person_299,0,Madrid,
HH_120,Person_301,female,49,45-49,,,,0,,Madrid
HH_120,Person_302,male,90,90-94,,,,0,,
HH_121,Person_303,male,29,25-29,Person_304,,,0,,Kia Selikar
HH_121,Person_304,male,60,60-64,,,Person_305,1,,Madrid
HH_121,Person_305,male,42,40-44,,,Person_304,0,,Madrid
HH_122,Person_306,male,83,80-84,,,,0,,
HH_122,Person_307,male,36,35-39,,,,0,,Madrid
HH_123,Person_308,male,10,10-14,,Person_309,,0,,
HH_123,Person_309,female,25,25-29,,,Person_310,1,,Madrid
HH_123,Person_310,female,46,45-49,,,Person_309,0,,Madrid
HH_124,Person_311,male,5,5-9,,Person_312,,0,Madrid,
HH_124,Person_312,female,42,40-44,,,Person_313,1,Madrid,
HH_124,Person_313,female,44,40-44,,,Person_312,0,Madrid,
HH_125,Person_314,male,65,65-69,,,,0,,
HH_125,Person_315,male,37,35-39,,,,0,,Madrid
HH_126,Person_316,female,5,5-9,,Person_320,,0,,
HH_126,Person_317,male,12,10-14,,Person_320,,0,,
HH_126,Person_318,female,4,0-4,,Person_320,,0,,
HH_126,Person_319,female,7,5-9,,Person_320,,0,,
HH_126,Person_320,female,29,25-29,,,,4,,Edificio Sabatini
HH_127,Person_321,male,19,15-19,,,,0,,Getafe norte
HH_128,Person_322,female,7,5-9,Person_325,,,0,Fuenlabrada,
HH_128,Person_323,male,2,0-4,Person_325,,,0,Fuenlabrada,
HH_128,Person_324,female,1,0-4,Person_325,,,0,Fuenlabrada,Escuela Infantil Rosa Caramelo
HH_128,Person_325,male,35,35-39,,,,3,Fuenlabrada,
HH_129,Person_326,male,65,65-69,,,,0,,
HH_130,Person_327,male,2,0-4,Person_329,,,0,Madrid,
HH_130,Person_328,female,0,0-4,Person_329,,,0,Madrid,
HH_130,Person_329,male,29,25-29,,,,2,Madrid,Fundación IMDEA Networks
HH_131,Person_330,male,7,5-9,,Person_332,,0,,
HH_131,Person_331,male,33,30-34,,Person_332,,0,,
HH_131,Person_332,female,62,60-64,,,Person_333,2,,Madrid
HH_131,Person_333,female,99,95-99,,,Person_332,0,,
HH_132,Person_334,female,78,75-79,,,,0,Madrid,
HH_132,Person_335,female,95,95-99,,,,0,Madrid,
HH_133,Person_336,male,25,25-29,,,,0,Madrid,Parque Científico de la Universidad Carlos III de Madrid
HH_133,Person_337,male,48,45-49,,,,0,Madrid,
HH_134,Person_338,male,22,20-24,,Person_342,,0,,Madrid
HH_134,Person_339,male,0,0-4,,Person_342,,0,,
HH_134,Person_340,male,30,30-34,,Person_342,,0,,
HH_134,Person_341,male,26,25-29,,Person_342,,0,,Edificio Torres Quevedo
HH_134,Person_342,female,48,45-49,,,,4,,Madrid
HH_135,Person_343,male,46,45-49,,,,0,,Madrid
HH_136,Person_344,male,45,45-49,,,,0,,Madrid
HH_136,Person_345,female,68,65-69,,,,0,,
HH_136,Person_346,female,95,95-99,,,,0,,
HH_137,Person_347,male,15,15-19,,Person_348,,0,,
HH_137,Person_348,female,53,50-54,,,Person_349,1,,Madrid
HH_137,Person_349,female,51,50-54,,,Person_348,0,,Madrid
HH_138,Person_350,male,11,10-14,,Person_352,,0,,
HH_138,Person_351,female,31,30-34,,Person_352,,0,,Madrid
HH_138,Person_352,female,67,65-69,,,Person_353,2,,
HH_138,Person_353,female,55,55-59,,,Person_352,0,,Madrid
HH_139,Person_354,female,35,35-39,,,,0,,Madrid
HH_139,Person_355,female,68,65-69,,,,0,,
HH_140,Person_356,male,18,15-19,Person_357,,,0,,Madrid
HH_140,Person_357,male,52,50-54,,,,1,,Edificio Juan Benet
HH_141,Person_358,male,79,75-79,,,,0,,
HH_141,Person_359,female,49,45-49,,,,0,,
HH_142,Person_360,female,15,15-19,Person_362,,,0,,
HH_142,Person_361,female,25,25-29,Person_362,,,0,,Edificio Agustín de Betancourt
HH_142,Person_362,male,58,55-59,,,Person_363,2,,Madrid
HH_142,Person_363,male,55,55-59,,,Person_362,0,,Madrid
HH_143,Person_364,male,63,60-64,,,,0,,Madrid
HH_143,Person_365,male,84,80-84,,,,0,,
HH_144,Person_366,male,3,0-4,,Person_370,,0,,
HH_144,Person_367,male,11,10-14,,Person_370,,0,,
HH_144,Person_368,male,9,5-9,,Person_370,,0,,
HH_144,Person_369,male,10,10-14,,Person_370,,0,,
HH_144,Person_370,female,45,45-49,,,,4,,Madrid
HH_145,Person_371,female,54,50-54,,,,0,,
HH_145,Person_372,female,85,85-89,,,,0,,
HH_146,Person_373,female,84,80-84,,,,0,Fuenlabrada,
HH_147,Person_374,male,9,5-9,,Person_378,,0,,
HH_147,Person_375,male,16,15-19,,Person_378,,0,,
HH_147,Person_376,female,8,5-9,,Person_378,,0,,
HH_147,Person_377,female,1,0-4,,Person_378,,0,,Escuela Infantil Rosa Caramelo
HH_147,Person_378,female,42,40-44,,,,4,,Mostoles
HH_148,Person_379,male,13,10-14,Person_382,,,0,Madrid,
HH_148,Person_380,male,8,5-9,Person_382,,,0,Madrid,
HH_148,Person_381,male,15,15-19,Person_382,,,0,Madrid,
HH_148,Person_382,male,33,30-34,,,,3,Madrid,
HH_149,Person_383,female,98,95-99,,,,0,Madrid,
HH_149,Person_384,male,85,85-89,,,,0,Madrid,
HH_150,Person_385,female,30,30-34,Person_387,,,0,Madrid,Edificio Torres Quevedo
HH_150,Person_386,female,32,30-34,Person_387,,,0,Madrid,
HH_150,Person_387,male,51,50-54,,,Person_388,2,Madrid,
HH_150,Person_388,male,32,30-34,,,Person_387,0,Madrid,
HH_151,Person_389,male,13,10-14,Person_391,,,0,Madrid,
HH_151,Person_390,female,35,35-39,Person_391,,,0,Madrid,
HH_151,Person_391,male,63,60-64,,,Person_392,2,Madrid,
HH_151,Person_392,male,56,55-59,,,Person_391,0,Madrid,
HH_152,Person_393,female,16,15-19,Person_395,,,0,,
HH_152,Person_394,male,29,25-29,Person_395,,,0,,Madrid
HH_152,Person_395,male,56,55-59,,,Person_396,2,,Madrid
HH_152,Person_396,male,55,55-59,,,Person_395,0,,Madrid
HH_153,Person_397,male,65,65-69,,,,0,,
HH_153,Person_398,female,71,70-74,,,,0,,
HH_153,Person_399,female,25,25-29,,,,0,,Edificio Juan Benet
HH_154,Person_400,male,38,35-39,Person_402,,,0,,Getafe norte
HH_154,Person_401,female,44,40-44,Person_402,,,0,,Madrid
HH_154,Person_402,male,84,80-84,,,Person_403,2,,
HH_154,Person_403,male,55,55-59,,,Person_402,0,,Madrid
HH_155,Person_404,female,92,90-94,,,,0,,
HH_155,Person_405,female,37,35-39,,,,0,,Getafe norte
HH_155,Person_406,male,32,30-34,,,,0,,Madrid
HH_156,Person_407,male,97,95-99,,,,0,Getafe norte,
HH_156,Person_408,female,60,60-64,,,,0,Getafe norte,
HH_157,Person_409,female,56,55-59,,,,0,Alcorcon,Viviendas de integración social Fundación F.A.D.
HH_157,Person_410,female,80,80-84,,,,0,Alcorcon,
HH_157,Person_411,male,67,65-69,,,,0,Alcorcon,
HH_158,Person_412,female,9,5-9,Person_413,,,0,Madrid,
HH_158,Person_413,male,26,25-29,,,Person_414,1,Madrid,
HH_158,Person_414,male,33,30-34,,,Person_413,0,Madrid,
HH_159,Person_415,male,34,30-34,,Person_416,,0,Madrid,
HH_159,Person_416,female,74,70-74,,,,1,Madrid,
HH_160,Person_417,female,21,20-24,,,,0,Getafe norte,
HH_160,Person_418,female,71,70-74,,,,0,Getafe norte,
HH_161,Person_419,female,15,15-19,,Person_420,,0,,Escuela Municipal de Música Manuel Rodríguez Sales
HH_161,Person_420,female,47,45-49,,,Person_421,1,,Madrid
HH_161,Person_421,female,49,45-49,,,Person_420,0,,Madrid
HH_162,Person_422,female,21,20-24,,Person_424,,0,,Madrid
HH_162,Person_423,female,25,25-29,,Person_424,,0,,Edificio Agustín de Betancourt
HH_162,Person_424,female,60,60-64,,,Person_425,2,,Getafe norte
HH_162,Person_425,female,66,65-69,,,Person_424,0,,
HH_163,Person_426,male,9,5-9,Person_428,,,0,,
HH_163,Person_427,female,10,10-14,Person_428,,,0,,
HH_163,Person_428,male,54,50-54,,,,2,,Madrid
HH_164,Person_429,male,31,30-34,,Person_430,,0,,Alcorcon
HH_164,Person_430,female,57,55-59,,,Person_431,1,,
HH_164,Person_431,female,56,55-59,,,Person_430,0,,
HH_165,Person_432,female,88,85-89,,,,0,,
HH_165,Person_433,male,39,35-39,,,,0,,Madrid
HH_166,Person_434,male,38,35-39,,,,0,,Madrid
HH_166,Person_435,male,40,40-44,,,,0,,Mostoles
HH_167,Person_436,female,5,5-9,Person_437,,,0,,
HH_167,Person_437,male,39,35-39,,,,1,,Madrid
HH_168,Person_438,male,12,10-14,,Person_441,,0,,
