household_id,number_persons,district,household_type_theoretical,household_type_generated,member_count,nucleus_member_refs,house_building_name,house_building_type
HH_16,2 personas,Sur,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_42|Person_43,Madrid,city
HH_17,1 persona,San Nicasio,Hogar con un hombre solo menor de 65 años,Hogar con un hombre solo menor de 65 años,1,Person_44,Madrid,city
HH_18,3 personas,Sur,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_45|Person_46|Person_47,,apartments
HH_19,2 personas,Polvoranca,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,2,Person_48|Person_49,,semidetached_house
HH_20,4 personas,Fortuna,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_50|Person_51|Person_52|Person_53,,yes
HH_21,3 personas,Sur,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,3,Person_54|Person_55|Person_56,,yes
HH_22,3 personas,San Nicasio,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,3,Person_57|Person_58|Person_59,Carrefour,yes
HH_23,1 persona,Sur,Hogar con un hombre solo menor de 65 años,Hogar con un hombre solo menor de 65 años,1,Person_60,Madrid,city
HH_24,4 personas,Sur,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_61|Person_62|Person_63|Person_64,Madrid,city
HH_25,2 personas,Sur,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_65|Person_66,,yes
HH_26,2 personas,Carrascal,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_67|Person_68,,semidetached_house
HH_27,1 persona,Polvoranca,Hogar con un hombre solo menor de 65 años,Hogar con un hombre solo menor de 65 años,1,Person_69,Fuenlabrada,city
HH_28,3 personas,Zarzaquemada,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_70|Person_71|Person_72,,residential
HH_29,5 o mas personas,Zarzaquemada,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),5,Person_73|Person_74|Person_75|Person_76|Person_77,,apartments
HH_30,2 personas,Polvoranca,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,2,Person_78|Person_79,Madrid,city
HH_31,5 o mas personas,Carrascal,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),5,Person_80|Person_81|Person_82|Person_83|Person_84,,yes
HH_32,4 personas,Polvoranca,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),4,Person_85|Person_86|Person_87|Person_88,Alcorcon,city
HH_33,3 personas,Polvoranca,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_89|Person_90|Person_91,Alcorcon,city
HH_34,1 persona,Polvoranca,Hogar con un hombre solo menor de 65 años,Hogar con un hombre solo menor de 65 años,1,Person_92,,semidetached_house
HH_35,4 personas,Norte,Otro tipo de hogar,Otro tipo de hogar,4,Person_93|Person_94|Person_95|Person_96,,yes
HH_36,1 persona,Zarzaquemada,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_97,Mostoles,city
HH_37,1 persona,Polvoranca,Hogar con un hombre solo de 65 años o más,Hogar con un hombre solo de 65 años o más,1,Person_98,,semidetached_house
HH_38,5 o mas personas,Sur,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,5,Person_99|Person_100|Person_101|Person_102|Person_103,Madrid,city
HH_39,5 o mas personas,Polvoranca,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,5,Person_104|Person_105|Person_106|Person_107|Person_108,Alcorcon,city
HH_40,4 personas,Sur,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),4,Person_109|Person_110|Person_111|Person_112,Madrid,city
HH_41,2 personas,Zarzaquemada,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_113|Person_114,,apartments
HH_42,5 o mas personas,Zarzaquemada,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),5,Person_115|Person_116|Person_117|Person_118|Person_119,,apartments
HH_43,1 persona,Fortuna,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_120,,yes
HH_44,3 personas,Zarzaquemada,Otro tipo de hogar,Otro tipo de hogar,3,Person_121|Person_122|Person_123,,residential
HH_45,4 personas,Zarzaquemada,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_124|Person_125|Person_126|Person_127,,residential
HH_46,1 persona,San Nicasio,Hogar con una mujer sola menor de 65 años,Hogar con una mujer sola menor de 65 años,1,Person_128,,apartments
HH_47,2 personas,Sur,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_129|Person_130,,yes
HH_48,2 personas,Sur,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,2,Person_131|Person_132,Madrid,city
HH_49,3 personas,San Nicasio,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,3,Person_133|Person_134|Person_135,Madrid,city
HH_50,1 persona,Carrascal,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_136,Madrid,city
HH_51,2 personas,Sur,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_137|Person_138,,apartments
HH_52,2 personas,Zarzaquemada,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_139|Person_140,,apartments
HH_53,3 personas,Carrascal,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_141|Person_142|Person_143,,residential
HH_54,3 personas,San Nicasio,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_144|Person_145|Person_146,Alcorcon,city
HH_55,4 personas,Norte,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_147|Person_148|Person_149|Person_150,Getafe norte,city
HH_56,1 persona,Norte,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_151,,yes
HH_57,3 personas,Zarzaquemada,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,3,Person_152|Person_153|Person_154,Madrid,city
HH_58,2 personas,Zarzaquemada,Otro tipo de hogar,Otro tipo de hogar,2,Person_155|Person_156,Madrid,city
HH_59,3 personas,Fortuna,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,3,Person_157|Person_158|Person_159,Madrid,city
HH_60,1 persona,San Nicasio,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_160,,yes
HH_61,1 persona,Sur,Hogar con una mujer sola menor de 65 años,Hogar con una mujer sola menor de 65 años,1,Person_161,,yes
HH_62,2 personas,Zarzaquemada,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_162|Person_163,,apartments
HH_63,1 persona,Zarzaquemada,Hogar con una mujer sola menor de 65 años,Hogar con una mujer sola menor de 65 años,1,Person_164,,yes
HH_64,3 personas,Sur,Otro tipo de hogar,Otro tipo de hogar,3,Person_165|Person_166|Person_167,,apartments
HH_65,3 personas,Carrascal,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,3,Person_168|Person_169|Person_170,,cabin
HH_66,3 personas,Zarzaquemada,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_171|Person_172|Person_173,,residential
HH_67,2 personas,San Nicasio,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_174|Person_175,,semidetached_house
HH_68,5 o mas personas,Norte,Otro tipo de hogar,Otro tipo de hogar,5,Person_176|Person_177|Person_178|Person_179|Person_180,,yes
HH_69,4 personas,Sur,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),4,Person_181|Person_182|Person_183|Person_184,Madrid,city
HH_70,1 persona,San Nicasio,Hogar con una mujer sola menor de 65 años,Hogar con una mujer sola menor de 65 años,1,Person_185,,semidetached_house
HH_71,3 personas,Zarzaquemada,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_186|Person_187|Person_188,,apartments
HH_72,3 personas,Carrascal,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_189|Person_190|Person_191,,semidetached_house
HH_73,2 personas,Carrascal,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_192|Person_193,,semidetached_house
HH_74,3 personas,Carrascal,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_194|Person_195|Person_196,Fuenlabrada,city
HH_75,4 personas,Carrascal,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),4,Person_197|Person_198|Person_199|Person_200,,yes
HH_76,1 persona,Zarzaquemada,Hogar con un hombre solo menor de 65 años,Hogar con un hombre solo menor de 65 años,1,Person_201,Madrid,city
HH_77,3 personas,San Nicasio,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,3,Person_202|Person_203|Person_204,Madrid,city
HH_78,1 persona,Carrascal,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_205,,apartments
HH_79,2 personas,Sur,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,2,Person_206|Person_207,,yes
HH_80,1 persona,Fortuna,Hogar con una mujer sola menor de 65 años,Hogar con una mujer sola menor de 65 años,1,Person_208,,yes
HH_81,1 persona,San Nicasio,Hogar con una mujer sola menor de 65 años,Hogar con una mujer sola menor de 65 años,1,Person_209,Madrid,city
HH_82,4 personas,Sur,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_210|Person_211|Person_212|Person_213,,yes
HH_83,3 personas,Zarzaquemada,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,3,Person_214|Person_215|Person_216,,residential
HH_84,4 personas,Norte,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_217|Person_218|Person_219|Person_220,,apartments
HH_85,4 personas,Norte,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_221|Person_222|Person_223|Person_224,,yes
HH_86,3 personas,Polvoranca,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_225|Person_226|Person_227,Getafe norte,city
HH_87,5 o mas personas,Norte,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),5,Person_228|Person_229|Person_230|Person_231|Person_232,Madrid,city
HH_88,4 personas,Fortuna,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_233|Person_234|Person_235|Person_236,,yes
HH_89,4 personas,Carrascal,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),4,Person_237|Person_238|Person_239|Person_240,,detached
HH_90,1 persona,Zarzaquemada,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_241,,residential
HH_91,5 o mas personas,Zarzaquemada,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),5,Person_242|Person_243|Person_244|Person_245|Person_246,,residential
HH_92,1 persona,Norte,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_247,,apartments
HH_93,1 persona,San Nicasio,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_248,,residential
HH_94,2 personas,San Nicasio,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_249|Person_250,Getafe norte,city
HH_95,5 o mas personas,Polvoranca,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),5,Person_251|Person_252|Person_253|Person_254|Person_255,,house
HH_96,2 personas,San Nicasio,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_256|Person_257,,yes
HH_97,2 personas,Zarzaquemada,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_258|Person_259,,residential
HH_98,2 personas,Zarzaquemada,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_260|Person_261,Madrid,city
HH_99,2 personas,Polvoranca,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_262|Person_263,,semidetached_house
HH_100,3 personas,Polvoranca,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,3,Person_264|Person_265|Person_266,,house
HH_101,3 personas,Zarzaquemada,Otro tipo de hogar,Otro tipo de hogar,3,Person_267|Person_268|Person_269,,residential
HH_102,3 personas,Carrascal,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_270|Person_271|Person_272,,semidetached_house
HH_103,2 personas,Carrascal,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_273|Person_274,,apartments
HH_104,4 personas,Zarzaquemada,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_275|Person_276|Person_277|Person_278,,apartments
HH_105,4 personas,San Nicasio,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_279|Person_280|Person_281|Person_282,Extremadura,city
HH_106,1 persona,San Nicasio,Hogar con un hombre solo menor de 65 años,Hogar con un hombre solo menor de 65 años,1,Person_283,,semidetached_house
HH_107,2 personas,Zarzaquemada,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_284|Person_285,Madrid,city
HH_108,3 personas,San Nicasio,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_286|Person_287|Person_288,,semidetached_house
HH_109,4 personas,Zarzaquemada,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_289|Person_290|Person_291|Person_292,Alcorcon,city
HH_110,1 persona,Norte,Hogar con un hombre solo de 65 años o más,Hogar con un hombre solo de 65 años o más,1,Person_293,Madrid,city
HH_111,4 personas,San Nicasio,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_294|Person_295|Person_296|Person_297,,residential
HH_112,5 o mas personas,Carrascal,Otro tipo de hogar,Otro tipo de hogar,5,Person_298|Person_299|Person_300|Person_301|Person_302,,yes
HH_113,2 personas,Fortuna,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,2,Person_303|Person_304,,yes
HH_114,2 personas,Sur,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,2,Person_305|Person_306,,apartments
HH_115,1 persona,Carrascal,Hogar con un hombre solo de 65 años o más,Hogar con un hombre solo de 65 años o más,1,Person_307,,residential
HH_116,2 personas,Sur,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,2,Person_308|Person_309,,yes
HH_117,3 personas,Carrascal,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_310|Person_311|Person_312,Madrid,city
HH_118,4 personas,Sur,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),4,Person_313|Person_314|Person_315|Person_316,,yes
HH_119,1 persona,Fortuna,Hogar con un hombre solo de 65 años o más,Hogar con un hombre solo de 65 años o más,1,Person_317,,semidetached_house
HH_120,4 personas,Zarzaquemada,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_318|Person_319|Person_320|Person_321,REPALAB,yes
HH_121,1 persona,Norte,Hogar con una mujer sola menor de 65 años,Hogar con una mujer sola menor de 65 años,1,Person_322,,apartments
HH_122,2 personas,San Nicasio,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_323|Person_324,,house
HH_123,3 personas,Polvoranca,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,3,Person_325|Person_326|Person_327,,house
HH_124,2 personas,Polvoranca,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_328|Person_329,,yes
HH_125,4 personas,Carrascal,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_330|Person_331|Person_332|Person_333,,yes
HH_126,1 persona,Zarzaquemada,Hogar con un hombre solo de 65 años o más,Hogar con un hombre solo de 65 años o más,1,Person_334,,apartments
HH_127,4 personas,Norte,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),4,Person_335|Person_336|Person_337|Person_338,Madrid,city
HH_128,4 personas,Zarzaquemada,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_339|Person_340|Person_341|Person_342,Madrid,city
HH_129,1 persona,Sur,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_343,Madrid,city
HH_130,3 personas,Carrascal,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_344|Person_345|Person_346,Madrid,city
HH_131,4 personas,San Nicasio,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),4,Person_347|Person_348|Person_349|Person_350,,semidetached_house
HH_132,1 persona,Norte,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_351,,yes
HH_133,2 personas,Carrascal,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,2,Person_352|Person_353,Madrid,city
HH_134,2 personas,Carrascal,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_354|Person_355,,apartments
HH_135,4 personas,Sur,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_356|Person_357|Person_358|Person_359,Madrid,city
HH_136,1 persona,Zarzaquemada,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_360,Madrid,city
HH_137,4 personas,Carrascal,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_361|Person_362|Person_363|Person_364,,yes
HH_138,3 personas,San Nicasio,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_365|Person_366|Person_367,Alcorcon,city
HH_139,2 personas,Zarzaquemada,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,2,Person_368|Person_369,,residential
HH_140,1 persona,Sur,Hogar con un hombre solo menor de 65 años,Hogar con un hombre solo menor de 65 años,1,Person_370,,yes
HH_141,1 persona,Fortuna,Hogar con una mujer sola menor de 65 años,Hogar con una mujer sola menor de 65 años,1,Person_371,,semidetached_house
HH_142,1 persona,Sur,Hogar con un hombre solo menor de 65 años,Hogar con un hombre solo menor de 65 años,1,Person_372,,yes
HH_143,5 o mas personas,Carrascal,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,5,Person_373|Person_374|Person_375|Person_376|Person_377,Madrid,city
HH_144,2 personas,Sur,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,2,Person_378|Person_379,Madrid,city
HH_145,3 personas,Zarzaquemada,Otro tipo de hogar,Otro tipo de hogar,3,Person_380|Person_381|Person_382,Fuenlabrada,city
HH_146,4 personas,Norte,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),4,Person_383|Person_384|Person_385|Person_386,Madrid,city
HH_147,3 personas,San Nicasio,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,3,Person_387|Person_388|Person_389,,semidetached_house
HH_148,5 o mas personas,San Nicasio,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),5,Person_390|Person_391|Person_392|Person_393|Person_394,,semidetached_house
HH_149,4 personas,Sur,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_395|Person_396|Person_397|Person_398,,apartments
HH_150,2 personas,San Nicasio,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,2,Person_399|Person_400,,house
HH_151,4 personas,Fortuna,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),4,Person_401|Person_402|Person_403|Person_404,,yes
HH_152,2 personas,Sur,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,2,Person_405|Person_406,Honda,yes
HH_153,1 persona,San Nicasio,Hogar con un hombre solo menor de 65 años,Hogar con un hombre solo menor de 65 años,1,Person_407,Fuenlabrada,city
